id,name,budget_range,preferred_location,requirements,checkin_time_preference,checkout_time_preference,preferred_facilities,special_requests
376,Ánh Nguyễn,12.580.000 - 12.990.000 VND,Hà Tĩnh,"Lễ tân 24 giờ, Trung tâm Spa & chăm sóc sức khoẻ, Giặt ủi, Thang máy",15:00 - 14:00,10:00 - 12:00,WiFi miễn phí,Giáp biển
377,Huy Mai,5.960.000 - 7.570.000 VND,Cà Mau,Nhà hàng,12:00 - 17:00,11:00 - 12:00,"Sân vườn, Máy pha trà/cà phê, Bữa sáng, Sân thượng / hiên",Nôi em bé
378,Phú Mai,4.490.000 - 6.000.000 VND,Phú Thọ,"Dọn phòng hàng ngày, WiFi miễn phí, Phòng gia đình, Sân thượng / hiên",15:00 - 14:00,11:00 - 12:00,Giặt ủi,
379,An Trí Mai,13.420.000 - 14.320.000 VND,Bạc Liêu,"Lễ tân 24 giờ, Phòng không hút thuốc",15:30 - 15:00,9:00 - 12:00,WiFi miễn phí,Chỗ đậu xe riêng
380,Ánh Dương,13.810.000 - 14.540.000 VND,Nghệ An,"Dọn phòng hàng ngày, Khu vực bãi tắm riêng",15:30 - 13:00,9:30 - 12:00,"Tiện nghi cho khách khuyết tật, Chỗ đỗ xe, Phòng gia đình",Khu vực cho phép hút thuốc
381,Vân Vũ,1.370.000 - 2.120.000 VND,Khánh Hòa,"Điều hòa nhiệt độ, Tiện nghi BBQ",13:30 - 17:00,12:00 - 12:00,"Sân thượng / hiên, Lễ tân 24 giờ",
382,Bảo Mai Bảo Bùi,14.990.000 - 16.610.000 VND,Lai Châu,Sân vườn,15:30 - 16:00,11:30 - 12:00,"Nhà hàng, Sân thượng / hiên, Trung tâm thể dục",Phòng không cửa sổ
383,Ngọc Mai,10.240.000 - 11.510.000 VND,Tây Ninh,"Sân thượng / hiên, Dịch vụ phòng",13:00 - 13:00,9:00 - 12:00,"Quầy bar, Điều hòa nhiệt độ, Khu vực bãi tắm riêng, Hồ bơi ngoài trời",Không cần dọn phòng
384,Xuân Mai,8.520.000 - 8.640.000 VND,Hà Giang,"Máy pha trà/cà phê, Quầy bar, Hồ bơi ngoài trời",11:00 - 18:00,11:30 - 12:00,Hồ bơi trong nhà,Khu vực cho phép hút thuốc
385,Lâm Lê,6.680.000 - 8.650.000 VND,An Giang,Phòng không hút thuốc,13:30 - 16:00,9:00 - 12:00,"Thang máy, Phòng không hút thuốc",Giáp biển
386,Kim Dương,16.370.000 - 16.470.000 VND,Ninh Thuận,"Sân vườn, Nhà hàng",14:30 - 16:00,12:00 - 12:00,"Trung tâm thể dục, Khu vực bãi tắm riêng, Phòng không hút thuốc",Khu vực cho phép hút thuốc
387,Nam Tấn Đặng,430.000 - 970.000 VND,Lào Cai,"Tiện nghi cho khách khuyết tật, Phòng gia đình, Nhà hàng",13:00 - 15:00,12:00 - 12:00,"Giặt ủi, Sân thượng / hiên, Điều hòa nhiệt độ, Trung tâm Spa & chăm sóc sức khoẻ",Tầng cao
388,Bảo Trần,14.580.000 - 14.670.000 VND,Điện Biên,"Phòng gia đình, Sân vườn, Dịch vụ phòng, Tiện nghi cho khách khuyết tật",14:30 - 14:00,11:00 - 12:00,Tiện nghi cho khách khuyết tật,Nôi em bé
389,Nam Xuân Nguyễn,1.940.000 - 3.080.000 VND,Kon Tum,Sân vườn,15:00 - 14:00,11:30 - 12:00,"Trung tâm Spa & chăm sóc sức khoẻ, Thang máy, Nhà hàng",Hướng biển
390,Vũ,16.880.000 - 18.210.000 VND,Phú Yên,"Hồ bơi ngoài trời, Khu vực bãi tắm riêng",11:30 - 16:00,9:00 - 12:00,"Lễ tân 24 giờ, Phòng không hút thuốc, Sân thượng / hiên",Tầng cao
391,Hà Phạm,9.610.000 - 9.730.000 VND,Bến Tre,"Bữa sáng, Trung tâm thể dục, Trung tâm Spa & chăm sóc sức khoẻ",13:00 - 15:00,10:00 - 12:00,"Xe đưa đón sân bay, Máy pha trà/cà phê, Thang máy",Phòng không cửa sổ
392,Nam Đức Bùi,2.450.000 - 3.150.000 VND,Bình Phước,"Xe đưa đón sân bay, Điều hòa nhiệt độ",11:00 - 14:00,11:30 - 12:00,"Nhà hàng, Tiện nghi BBQ, Hồ bơi trong nhà",Chỗ đậu xe riêng
393,Hưng Thị Bùi,1.500.000 - 2.300.000 VND,Nghệ An,"Máy pha trà/cà phê, Dọn phòng hàng ngày, Lễ tân 24 giờ",12:00 - 16:00,9:00 - 12:00,"Lễ tân 24 giờ, Phòng gia đình, WiFi miễn phí, Chỗ đỗ xe",
394,Bảo Bùi,12.250.000 - 13.770.000 VND,Ninh Bình,"Sân thượng / hiên, Tiện nghi cho khách khuyết tật, Hồ bơi trong nhà, Thang máy",12:00 - 16:00,10:00 - 12:00,"Điều hòa nhiệt độ, Dọn phòng hàng ngày, Hồ bơi trong nhà, Phòng không hút thuốc",Giáp biển
395,Khoa Bùi,9.680.000 - 10.280.000 VND,Vĩnh Long,"Nhà hàng, Sân thượng / hiên",13:30 - 16:00,10:30 - 12:00,"Dọn phòng hàng ngày, Sân vườn, Bữa sáng",
396,Vi Đặng,2.360.000 - 3.260.000 VND,Khánh Hòa,"Giặt ủi, Hồ bơi trong nhà, Trung tâm Spa & chăm sóc sức khoẻ, Tiện nghi cho khách khuyết tật",15:00 - 17:00,9:30 - 12:00,Thang máy,Hướng biển
397,Nhật Trần,16.270.000 - 17.050.000 VND,Lâm Đồng,"Chỗ đỗ xe, Trung tâm thể dục, WiFi miễn phí, Dịch vụ phòng",15:00 - 17:00,10:30 - 12:00,"Phòng gia đình, Thang máy, Hồ bơi ngoài trời, Tiện nghi BBQ",Không cần dọn phòng
398,Nhật Đặng,11.660.000 - 12.540.000 VND,Lâm Đồng,"Giặt ủi, Phòng không hút thuốc",11:30 - 13:00,12:30 - 12:00,Dọn phòng hàng ngày,
399,Bảo Trần,8.360.000 - 8.540.000 VND,Nam Định,Phòng không hút thuốc,15:30 - 15:00,12:00 - 12:00,Hồ bơi ngoài trời,Giường phụ
400,Vi Dương,15.510.000 - 17.140.000 VND,Tây Ninh,Trung tâm Spa & chăm sóc sức khoẻ,12:00 - 16:00,11:30 - 12:00,"Hồ bơi ngoài trời, Phòng không hút thuốc, Thang máy, Hồ bơi trong nhà",Phòng không cửa sổ
401,Hà Bùi,6.280.000 - 7.400.000 VND,Quảng Nam,"Phòng gia đình, Trung tâm thể dục, Bữa sáng",15:30 - 14:00,11:00 - 12:00,"Máy pha trà/cà phê, Lễ tân 24 giờ, Bữa sáng",Tầng cao
402,Ánh Đặng,2.290.000 - 3.020.000 VND,Thừa Thiên Huế,Dịch vụ phòng,14:30 - 18:00,11:30 - 12:00,"Chỗ đỗ xe, WiFi miễn phí, Máy pha trà/cà phê, Hồ bơi ngoài trời",Giáp biển
403,Đức Hoàng,2.890.000 - 3.380.000 VND,Lạng Sơn,"Tiện nghi cho khách khuyết tật, WiFi miễn phí, Nhà hàng, Hồ bơi trong nhà",12:00 - 13:00,9:00 - 12:00,"Khu vực bãi tắm riêng, Sân vườn",Chỗ đậu xe riêng
404,Thành Bùi,1.780.000 - 2.140.000 VND,Ninh Thuận,"Dọn phòng hàng ngày, Tiện nghi BBQ, Sân thượng / hiên, WiFi miễn phí",15:00 - 16:00,12:30 - 12:00,"Tiện nghi cho khách khuyết tật, Dịch vụ phòng, Giặt ủi, WiFi miễn phí",Giường phụ
405,Dũng Trí Trần,10.250.000 - 12.130.000 VND,Đắk Lắk,"WiFi miễn phí, Máy pha trà/cà phê, Trung tâm thể dục",13:00 - 13:00,12:30 - 12:00,Trung tâm thể dục,Hướng biển
406,Quang Xuân Đặng,2.950.000 - 4.820.000 VND,Quảng Ngãi,"Dọn phòng hàng ngày, Nôi/cũi theo yêu cầu, Phòng gia đình",15:00 - 14:00,12:00 - 12:00,"Sân thượng / hiên, Lễ tân 24 giờ, Thang máy",Phòng yên tĩnh
407,Thành Vũ,9.650.000 - 10.820.000 VND,Kon Tum,"Trung tâm thể dục, Khu vực bãi tắm riêng, Thang máy, WiFi miễn phí",13:30 - 15:00,10:00 - 12:00,"Khu vực bãi tắm riêng, Trung tâm thể dục, Xe đưa đón sân bay",
408,Hải Mai,9.740.000 - 11.230.000 VND,Bình Thuận,Phòng không hút thuốc,13:00 - 15:00,12:00 - 12:00,"Nôi/cũi theo yêu cầu, Phòng gia đình",View đẹp
409,Khoa Hoàng,5.210.000 - 5.550.000 VND,Nghệ An,"Xe đưa đón sân bay, Bữa sáng, Khu vực bãi tắm riêng",11:00 - 17:00,10:30 - 12:00,"Giặt ủi, Xe đưa đón sân bay, Tiện nghi BBQ",
410,Phúc Mai,3.750.000 - 5.110.000 VND,Thừa Thiên Huế,Thang máy,11:00 - 17:00,10:30 - 12:00,"Trung tâm Spa & chăm sóc sức khoẻ, Chỗ đỗ xe, Dịch vụ phòng, Phòng không hút thuốc",Phòng không cửa sổ
411,Vân Nguyễn,3.470.000 - 4.010.000 VND,Lào Cai,"Lễ tân 24 giờ, Quầy bar, Xe đưa đón sân bay",11:00 - 14:00,12:30 - 12:00,"Hồ bơi trong nhà, Sân vườn, Khu vực bãi tắm riêng, Trung tâm Spa & chăm sóc sức khoẻ",Nôi em bé
412,Lan Hoàng,7.820.000 - 9.570.000 VND,Quảng Nam,"Sân vườn, Xe đưa đón sân bay, Nhà hàng, Nôi/cũi theo yêu cầu",14:00 - 15:00,12:30 - 12:00,"Nôi/cũi theo yêu cầu, Phòng không hút thuốc, Lễ tân 24 giờ",
413,Tú Lê,10.930.000 - 12.570.000 VND,Hà Nam,"Sân thượng / hiên, Quầy bar, Xe đưa đón sân bay, Thang máy",13:30 - 13:00,11:30 - 12:00,"Trung tâm Spa & chăm sóc sức khoẻ, Phòng không hút thuốc, Khu vực bãi tắm riêng, Dịch vụ phòng",Giường phụ
414,Ánh Lê,15.820.000 - 16.320.000 VND,Lai Châu,"Phòng không hút thuốc, Tiện nghi BBQ, Giặt ủi",13:00 - 18:00,9:00 - 12:00,WiFi miễn phí,
415,Nhật Đặng,2.170.000 - 3.930.000 VND,Hòa Bình,"Dịch vụ phòng, Khu vực bãi tắm riêng, Hồ bơi trong nhà",13:00 - 13:00,9:00 - 12:00,Sân thượng / hiên,Nôi em bé
416,Hoàng Hải Mai,12.320.000 - 13.960.000 VND,Bình Dương,Phòng gia đình,15:00 - 16:00,10:00 - 12:00,"Xe đưa đón sân bay, Hồ bơi trong nhà",Hướng biển
417,Hạnh Hoàng,13.130.000 - 14.300.000 VND,Tuyên Quang,"Trung tâm Spa & chăm sóc sức khoẻ, WiFi miễn phí, Tiện nghi BBQ",13:30 - 14:00,9:30 - 12:00,Chỗ đỗ xe,Phòng yên tĩnh
418,Hạnh Trí Vũ,5.330.000 - 6.010.000 VND,Cà Mau,"Phòng gia đình, Sân vườn, Hồ bơi ngoài trời, Sân thượng / hiên",14:00 - 18:00,12:00 - 12:00,"Máy pha trà/cà phê, Trung tâm Spa & chăm sóc sức khoẻ",Giường phụ
419,Tùng Trần,13.220.000 - 13.500.000 VND,Trà Vinh,"Tiện nghi BBQ, Xe đưa đón sân bay, Điều hòa nhiệt độ, Lễ tân 24 giờ",11:00 - 17:00,11:30 - 12:00,Sân vườn,
420,Nhật Hải Dương,13.160.000 - 13.170.000 VND,Tuyên Quang,Phòng không hút thuốc,14:30 - 14:00,11:30 - 12:00,Nôi/cũi theo yêu cầu,Giáp biển
421,Tú Phạm,9.840.000 - 10.960.000 VND,Hải Dương,Máy pha trà/cà phê,12:00 - 16:00,12:00 - 12:00,"Thang máy, Phòng không hút thuốc, Hồ bơi trong nhà",Phòng không cửa sổ
422,Hà Văn Mai,13.300.000 - 13.540.000 VND,Hà Nội,"Phòng gia đình, Dọn phòng hàng ngày, Trung tâm Spa & chăm sóc sức khoẻ",13:00 - 14:00,9:30 - 12:00,"Hồ bơi trong nhà, Tiện nghi BBQ",Hướng biển
423,Hải Phú Trần,12.960.000 - 14.730.000 VND,Hà Nam,"Phòng gia đình, Quầy bar, Dọn phòng hàng ngày, Khu vực bãi tắm riêng",12:00 - 13:00,10:00 - 12:00,"Sân vườn, Chỗ đỗ xe",
424,Nhật Nguyễn,11.120.000 - 12.770.000 VND,Đồng Tháp,"Máy pha trà/cà phê, Dọn phòng hàng ngày, Bữa sáng, Lễ tân 24 giờ",13:00 - 15:00,9:30 - 12:00,Hồ bơi ngoài trời,Phòng không cửa sổ
425,Nhiên Văn Trần,10.760.000 - 11.940.000 VND,Vĩnh Long,"Khu vực bãi tắm riêng, Trung tâm thể dục",12:00 - 13:00,10:30 - 12:00,Sân vườn,Giường phụ
426,Khoa Vũ,980.000 - 1.610.000 VND,Quảng Bình,"Bữa sáng, Giặt ủi",11:30 - 13:00,12:00 - 12:00,Điều hòa nhiệt độ,
427,Linh Đặng,12.230.000 - 13.810.000 VND,Đà Nẵng,Hồ bơi ngoài trời,14:30 - 18:00,12:30 - 12:00,Phòng không hút thuốc,Chỗ đậu xe riêng
428,Xuân Trần,6.630.000 - 7.180.000 VND,Quảng Trị,Trung tâm thể dục,12:30 - 13:00,9:30 - 12:00,"Trung tâm Spa & chăm sóc sức khoẻ, WiFi miễn phí",
429,Hoàng Hoàng Đặng,7.620.000 - 9.040.000 VND,Bình Thuận,"Dịch vụ phòng, Trung tâm thể dục, Lễ tân 24 giờ, Nhà hàng",11:30 - 14:00,9:30 - 12:00,Bữa sáng,
430,Ánh Vũ,1.870.000 - 3.680.000 VND,Ninh Thuận,"WiFi miễn phí, Tiện nghi BBQ, Trung tâm Spa & chăm sóc sức khoẻ",14:00 - 14:00,10:30 - 12:00,"WiFi miễn phí, Dịch vụ phòng, Giặt ủi, Sân thượng / hiên",Giường phụ
431,Hải Dương,3.730.000 - 5.570.000 VND,Kiên Giang,Quầy bar,13:30 - 16:00,9:00 - 12:00,"Điều hòa nhiệt độ, Nôi/cũi theo yêu cầu",Giường phụ
432,Minh Bảo Phạm,7.460.000 - 9.410.000 VND,Lâm Đồng,"Dọn phòng hàng ngày, Trung tâm Spa & chăm sóc sức khoẻ",12:30 - 13:00,10:00 - 12:00,"Phòng không hút thuốc, Sân vườn",Chỗ đậu xe riêng
433,Vũ Vũ,13.770.000 - 13.890.000 VND,Bắc Giang,"Hồ bơi trong nhà, Hồ bơi ngoài trời, WiFi miễn phí",13:30 - 17:00,12:00 - 12:00,Khu vực bãi tắm riêng,
434,Thảo Bùi,11.050.000 - 11.510.000 VND,Bình Thuận,Sân vườn,15:00 - 13:00,10:30 - 12:00,"WiFi miễn phí, Hồ bơi ngoài trời, Khu vực bãi tắm riêng",Tầng cao
435,Hạnh Văn Hoàng,4.760.000 - 6.760.000 VND,Bình Dương,"Dịch vụ phòng, Điều hòa nhiệt độ, Khu vực bãi tắm riêng",14:00 - 16:00,10:00 - 12:00,"Trung tâm thể dục, Sân vườn, Lễ tân 24 giờ, WiFi miễn phí",
436,Duyên Đặng,12.530.000 - 13.700.000 VND,Cà Mau,"Tiện nghi cho khách khuyết tật, Nhà hàng, Dọn phòng hàng ngày, Khu vực bãi tắm riêng",12:30 - 15:00,10:30 - 12:00,"Lễ tân 24 giờ, Tiện nghi BBQ",View đẹp
437,Tùng Thế Nguyễn,2.840.000 - 3.130.000 VND,Thanh Hóa,"Dọn phòng hàng ngày, WiFi miễn phí, Giặt ủi, Trung tâm Spa & chăm sóc sức khoẻ",13:00 - 15:00,10:00 - 12:00,"Phòng gia đình, WiFi miễn phí",Giáp biển
438,Hoàng Đặng,17.700.000 - 18.260.000 VND,Long An,"Dọn phòng hàng ngày, Xe đưa đón sân bay, Bữa sáng, Khu vực bãi tắm riêng",14:00 - 14:00,11:30 - 12:00,"Trung tâm thể dục, Nhà hàng",Phòng yên tĩnh
439,Tùng Quang Đặng,8.600.000 - 8.720.000 VND,Bạc Liêu,"Khu vực bãi tắm riêng, Trung tâm Spa & chăm sóc sức khoẻ, Nôi/cũi theo yêu cầu, Lễ tân 24 giờ",14:30 - 16:00,9:30 - 12:00,"Dịch vụ phòng, Phòng gia đình, Máy pha trà/cà phê, Trung tâm Spa & chăm sóc sức khoẻ",
440,Phương Dương,15.030.000 - 16.080.000 VND,Vĩnh Long,"Nhà hàng, Tiện nghi cho khách khuyết tật",13:00 - 18:00,9:00 - 12:00,"Phòng không hút thuốc, Hồ bơi trong nhà, Giặt ủi, Tiện nghi BBQ",Giường phụ
441,Nam Nguyễn,15.350.000 - 16.850.000 VND,Bà Rịa - Vũng Tàu,"Dọn phòng hàng ngày, Trung tâm Spa & chăm sóc sức khoẻ, Nhà hàng, Tiện nghi BBQ",14:00 - 15:00,12:00 - 12:00,Chỗ đỗ xe,Tầng cao
442,Hải Phạm,10.920.000 - 11.010.000 VND,Đồng Nai,"Trung tâm Spa & chăm sóc sức khoẻ, Xe đưa đón sân bay, Tiện nghi BBQ, Sân thượng / hiên",15:00 - 18:00,9:30 - 12:00,Nôi/cũi theo yêu cầu,Phòng không cửa sổ
443,Duyên Trần,7.500.000 - 7.640.000 VND,Bình Dương,"Tiện nghi cho khách khuyết tật, Dọn phòng hàng ngày, Sân thượng / hiên, Lễ tân 24 giờ",13:30 - 14:00,9:00 - 12:00,"Thang máy, Dịch vụ phòng",Phòng không cửa sổ
444,Dương Phạm,9.840.000 - 11.730.000 VND,Vĩnh Long,"Trung tâm Spa & chăm sóc sức khoẻ, Khu vực bãi tắm riêng",12:30 - 15:00,11:30 - 12:00,"Lễ tân 24 giờ, Phòng gia đình, Tiện nghi cho khách khuyết tật",Giáp biển
445,Quang Đức Phạm,10.310.000 - 11.660.000 VND,Thái Nguyên,Sân vườn,15:30 - 16:00,11:00 - 12:00,"Dọn phòng hàng ngày, Phòng gia đình",
446,Hưng Hoàng Vũ,3.710.000 - 4.450.000 VND,Vĩnh Phúc,Điều hòa nhiệt độ,12:30 - 13:00,10:30 - 12:00,"Hồ bơi ngoài trời, Nôi/cũi theo yêu cầu",Phòng yên tĩnh
447,Thảo Phạm,6.050.000 - 7.120.000 VND,Yên Bái,"Sân vườn, Tiện nghi cho khách khuyết tật",14:30 - 18:00,9:30 - 12:00,"Phòng gia đình, Bữa sáng",Nôi em bé
448,Hạnh Đặng,17.140.000 - 18.480.000 VND,Ninh Thuận,"WiFi miễn phí, Trung tâm thể dục, Thang máy",13:30 - 17:00,12:30 - 12:00,"Trung tâm thể dục, Nhà hàng, Hồ bơi trong nhà",
449,Nhật Phạm,5.370.000 - 5.960.000 VND,Khánh Hòa,"Hồ bơi trong nhà, Trung tâm Spa & chăm sóc sức khoẻ, Lễ tân 24 giờ",12:30 - 15:00,12:00 - 12:00,"Tiện nghi BBQ, Máy pha trà/cà phê",
450,Kim Đặng,3.640.000 - 5.460.000 VND,Quảng Bình,"Giặt ủi, Dịch vụ phòng",11:00 - 15:00,10:30 - 12:00,"Tiện nghi cho khách khuyết tật, Giặt ủi, Hồ bơi ngoài trời",Phòng yên tĩnh
451,Dũng Mai,13.680.000 - 14.500.000 VND,Yên Bái,"Nhà hàng, Tiện nghi cho khách khuyết tật, Dọn phòng hàng ngày",15:00 - 17:00,11:00 - 12:00,Chỗ đỗ xe,Chỗ đậu xe riêng
452,Phương Thế Dương,9.430.000 - 10.250.000 VND,Bình Phước,Khu vực bãi tắm riêng,15:30 - 18:00,11:30 - 12:00,"Trung tâm Spa & chăm sóc sức khoẻ, Trung tâm thể dục, Phòng không hút thuốc",
453,Thảo Phạm,11.620.000 - 13.490.000 VND,Trà Vinh,"Thang máy, Tiện nghi BBQ, Điều hòa nhiệt độ, Khu vực bãi tắm riêng",14:00 - 14:00,9:30 - 12:00,Chỗ đỗ xe,Nôi em bé
454,Hồng Hoàng,9.180.000 - 10.100.000 VND,Bắc Ninh,"Lễ tân 24 giờ, Sân thượng / hiên, Quầy bar",12:00 - 15:00,10:00 - 12:00,Máy pha trà/cà phê,Phòng không cửa sổ
455,Hà Hoàng,13.800.000 - 14.030.000 VND,Yên Bái,"Hồ bơi ngoài trời, Sân vườn, Thang máy, Sân thượng / hiên",15:00 - 18:00,11:30 - 12:00,"Tiện nghi BBQ, WiFi miễn phí",Tầng cao
456,Quang Trần,290.000 - 1.020.000 VND,Hà Nam,"Hồ bơi trong nhà, Dọn phòng hàng ngày, Máy pha trà/cà phê",11:00 - 18:00,12:30 - 12:00,"Hồ bơi trong nhà, Giặt ủi, Khu vực bãi tắm riêng, WiFi miễn phí",Không cần dọn phòng
457,Hạnh Lê,2.900.000 - 4.410.000 VND,Nam Định,Nhà hàng,12:30 - 16:00,11:00 - 12:00,"Phòng gia đình, Bữa sáng, WiFi miễn phí, Quầy bar",Không cần dọn phòng
458,Thành Phú Hoàng,3.630.000 - 5.060.000 VND,Hưng Yên,"Hồ bơi ngoài trời, Giặt ủi",14:30 - 17:00,12:00 - 12:00,"Trung tâm thể dục, Hồ bơi trong nhà, Sân vườn",Giáp biển
459,Mai Vũ,4.640.000 - 4.710.000 VND,Sơn La,Nhà hàng,13:30 - 18:00,12:00 - 12:00,"WiFi miễn phí, Giặt ủi, Sân vườn",Phòng không cửa sổ
460,Hương Trần,5.060.000 - 5.140.000 VND,Bình Dương,"Sân vườn, Phòng gia đình, Sân thượng / hiên",13:30 - 17:00,12:30 - 12:00,"Tiện nghi BBQ, Điều hòa nhiệt độ, Tiện nghi cho khách khuyết tật, Nôi/cũi theo yêu cầu",Phòng yên tĩnh
461,Hải Trí Phạm,17.360.000 - 18.030.000 VND,Bình Thuận,Nhà hàng,13:30 - 18:00,10:30 - 12:00,"Lễ tân 24 giờ, Xe đưa đón sân bay",Phòng không cửa sổ
462,Mai Bùi,7.340.000 - 7.470.000 VND,Đồng Nai,"Nôi/cũi theo yêu cầu, Quầy bar, Phòng gia đình",15:00 - 18:00,10:00 - 12:00,"Máy pha trà/cà phê, Thang máy",Phòng không cửa sổ
463,Thành Phạm,16.430.000 - 17.210.000 VND,Điện Biên,"Điều hòa nhiệt độ, Máy pha trà/cà phê, Trung tâm thể dục",13:00 - 13:00,10:30 - 12:00,"Trung tâm Spa & chăm sóc sức khoẻ, Sân vườn, WiFi miễn phí",Chỗ đậu xe riêng
464,Dũng Bảo Bùi,2.140.000 - 2.700.000 VND,Bình Phước,"Hồ bơi ngoài trời, Máy pha trà/cà phê",15:00 - 16:00,12:00 - 12:00,Nhà hàng,Giáp biển
465,Nam Mai Bảo Hoàng,7.180.000 - 7.980.000 VND,Quảng Bình,"Nhà hàng, Dọn phòng hàng ngày, Sân thượng / hiên",15:30 - 14:00,11:00 - 12:00,Dịch vụ phòng,
466,Ánh Phạm,14.260.000 - 14.630.000 VND,Quảng Bình,"Hồ bơi trong nhà, Nhà hàng",12:00 - 13:00,12:00 - 12:00,Bữa sáng,Không cần dọn phòng
467,Lâm Nguyễn,920.000 - 1.430.000 VND,Bến Tre,Phòng không hút thuốc,15:00 - 16:00,9:30 - 12:00,Phòng gia đình,Phòng yên tĩnh
468,Dương Đặng,15.500.000 - 15.750.000 VND,Sơn La,Sân thượng / hiên,12:00 - 14:00,11:00 - 12:00,Nhà hàng,View đẹp
469,Tùng Mai Bảo Lê,11.920.000 - 12.820.000 VND,Hà Nam,"Nôi/cũi theo yêu cầu, Trung tâm Spa & chăm sóc sức khoẻ",15:00 - 17:00,9:00 - 12:00,Nôi/cũi theo yêu cầu,
470,Nhật Bùi,3.970.000 - 4.700.000 VND,Bình Thuận,Khu vực bãi tắm riêng,11:00 - 17:00,12:30 - 12:00,"Dọn phòng hàng ngày, Phòng không hút thuốc",Chỗ đậu xe riêng
471,Phương Quang Hoàng,17.140.000 - 18.050.000 VND,Yên Bái,"WiFi miễn phí, Hồ bơi ngoài trời, Nôi/cũi theo yêu cầu, Dịch vụ phòng",14:00 - 15:00,9:30 - 12:00,Nôi/cũi theo yêu cầu,
472,Quang Hữu Dương,15.660.000 - 16.590.000 VND,Quảng Nam,"Máy pha trà/cà phê, Khu vực bãi tắm riêng, Lễ tân 24 giờ",11:30 - 16:00,9:30 - 12:00,"Dọn phòng hàng ngày, Sân thượng / hiên, Khu vực bãi tắm riêng",Giáp biển
473,Yến Nguyễn,4.670.000 - 6.090.000 VND,Hải Phòng,"WiFi miễn phí, Hồ bơi ngoài trời, Phòng gia đình",14:30 - 14:00,9:30 - 12:00,Chỗ đỗ xe,Phòng không cửa sổ
474,Khoa Bảo Đặng,13.900.000 - 14.120.000 VND,Bình Dương,"Chỗ đỗ xe, Tiện nghi BBQ",15:00 - 18:00,10:00 - 12:00,"Hồ bơi ngoài trời, Thang máy, Sân thượng / hiên",Không cần dọn phòng
475,Tùng Trần,2.560.000 - 3.160.000 VND,Thái Nguyên,"Khu vực bãi tắm riêng, Sân vườn, Xe đưa đón sân bay, Trung tâm Spa & chăm sóc sức khoẻ",15:30 - 18:00,12:30 - 12:00,"Phòng không hút thuốc, Sân thượng / hiên, Chỗ đỗ xe, Sân vườn",Chỗ đậu xe riêng
476,Hà Hải Mai,15.770.000 - 16.940.000 VND,Bến Tre,Xe đưa đón sân bay,14:30 - 14:00,10:00 - 12:00,Khu vực bãi tắm riêng,
477,Phúc Đức Hoàng,1.440.000 - 2.720.000 VND,Phú Yên,Giặt ủi,14:30 - 14:00,11:00 - 12:00,Phòng không hút thuốc,Giáp biển
478,Ngọc Hoàng,16.280.000 - 17.480.000 VND,Cao Bằng,"Phòng không hút thuốc, Sân vườn, Nôi/cũi theo yêu cầu",13:30 - 17:00,9:00 - 12:00,"Điều hòa nhiệt độ, Chỗ đỗ xe, Dọn phòng hàng ngày, Thang máy",Giáp biển
479,Thành Nguyễn,9.460.000 - 9.560.000 VND,Bạc Liêu,"Máy pha trà/cà phê, Phòng không hút thuốc",13:00 - 16:00,12:00 - 12:00,"Tiện nghi BBQ, Chỗ đỗ xe, Sân vườn",Giường phụ
480,Nhiên Dương,13.870.000 - 15.130.000 VND,Phú Thọ,"Sân vườn, Máy pha trà/cà phê, Giặt ủi, Nôi/cũi theo yêu cầu",11:30 - 15:00,12:30 - 12:00,"Trung tâm Spa & chăm sóc sức khoẻ, Hồ bơi trong nhà, Thang máy",
481,Hà Mai,12.140.000 - 12.260.000 VND,Bình Định,"Tiện nghi cho khách khuyết tật, Khu vực bãi tắm riêng, Trung tâm thể dục",11:30 - 16:00,9:30 - 12:00,"Tiện nghi cho khách khuyết tật, WiFi miễn phí, Lễ tân 24 giờ",Nôi em bé
482,Phương Vũ,4.850.000 - 6.510.000 VND,Đồng Tháp,Tiện nghi BBQ,11:30 - 13:00,11:00 - 12:00,Máy pha trà/cà phê,Giáp biển
483,Thành Đức Vũ,13.520.000 - 14.610.000 VND,Lào Cai,"Xe đưa đón sân bay, Bữa sáng, Tiện nghi BBQ, Sân vườn",15:00 - 15:00,12:30 - 12:00,"Trung tâm thể dục, Điều hòa nhiệt độ, Sân vườn",
484,Tú Mai,13.870.000 - 14.400.000 VND,Hà Giang,"Nôi/cũi theo yêu cầu, Trung tâm Spa & chăm sóc sức khoẻ, Phòng không hút thuốc, Thang máy",12:30 - 15:00,12:00 - 12:00,"Quầy bar, Phòng gia đình, Máy pha trà/cà phê, Hồ bơi ngoài trời",
485,Nhật Nguyễn,1.020.000 - 1.790.000 VND,Lào Cai,"Dịch vụ phòng, Sân thượng / hiên, Khu vực bãi tắm riêng, Phòng gia đình",15:00 - 17:00,11:30 - 12:00,Trung tâm thể dục,Giáp biển
486,Vũ Mai,8.790.000 - 9.330.000 VND,Hà Nam,Quầy bar,13:30 - 16:00,11:00 - 12:00,"Chỗ đỗ xe, Xe đưa đón sân bay, Sân thượng / hiên, Nôi/cũi theo yêu cầu",Khu vực cho phép hút thuốc
